Can,Chi,Ví dụ,Ngũ hành,Ngũ hành Nạp Âm
Canh,Thân,1980,Mộc,Thạch Lựu Mộc
Tân,Dậu,1981,Mộc,Thạch Lựu Mộc
Nhâm,Tuất,1982,Thủy,Đại Hải Thủy
Quý,Hợi,1983,Thủy,Đại Hải Thủy
Giáp,Tý,1984,Kim,Hải Trung Kim
Ất,Sửu,1985,Kim,Hải Trung Kim
Bính,Dần,1986,Hỏa,Lư Trung Hỏa
Đinh,Mão,1987,Hỏa,Lư Trung Hỏa
Mậu,Thìn,1988,Mộc,Đại Lâm Mộc
Kỷ,Tỵ,1989,Mộc,Đại Lâm Mộc
Canh,Ngọ,1990,Thổ,Lộ Bàn Thổ
Tân,Mùi,1991,Thổ,Lộ Bàn Thổ
Nhâm,Thân,1992,Kim,Kiếm Phong Kim
Quý,Dậu,1993,Kim,Kiếm Phong Kim
Giáp,Tuất,1994,Hỏa,Sơn Đầu Hỏa
Ất,Hợi,1995,Hỏa,Sơn Đầu Hỏa
Bính,Tý,1996,Thủy,Giang Hạ Thủy
Đinh,Sửu,1997,Thủy,Giang Hạ Thủy
Mậu,Dần,1998,Thổ,Thành Đầu Thổ
Kỷ,Mão,1999,Thổ,Thành Đầu Thổ
Canh,Thìn,2000,Kim,Bạch Lạp Kim
Tân,Tỵ,2001,Kim,Bạch Lạp Kim
Nhâm,Ngọ,2002,Mộc,Dương Liễu Mộc
Quý,Mùi,2003,Mộc,Dương Liễu Mộc
Giáp,Thân,2004,Thủy,Tuyền Trung Thủy
Ất,Dậu,2005,Thủy,Tuyền Trung Thủy
Bính,Tuất,2006,Thổ,Ốc Thượng Thổ
Đinh,Hợi,2007,Thổ,Ốc Thượng Thổ
Mậu,Tý,2008,Hỏa,Tích Lịch Hỏa
Kỷ,Sửu,2009,Hỏa,Tích Lịch Hỏa
Canh,Dần,2010,Mộc,Tùng Bá Mộc
Tân,Mão,2011,Mộc,Tùng Bá Mộc
Nhâm,Thìn,2012,Thủy,Trường Lưu Thủy
Quý,Tỵ,2013,Thủy,Trường Lưu Thủy
Giáp,Ngọ,2014,Kim,Sa Trung Kim
Ất,Mùi,2015,Kim,Sa Trung Kim
Bính,Thân,2016,Hỏa,Sơn Hạ Hỏa
Đinh,Dậu,2017,Hỏa,Sơn Hạ Hỏa
Mậu,Tuất,2018,Mộc,Bình Địa Mộc
Kỷ,Hợi,2019,Mộc,Bình Địa Mộc
Canh,Tý,2020,Thổ,Bích Thượng Thổ
Tân,Sửu,2021,Thổ,Bích Thượng Thổ
Nhâm,Dần,2022,Kim,Kim Bạch Kim
Quý,Mão,2023,Kim,Kim Bạch Kim
Giáp,Thìn,2024,Hỏa,Phúc Đăng Hỏa
Ất,Tỵ,2025,Hỏa,Phúc Đăng Hỏa
Bính,Ngọ,2026,Thủy,Thiên Hà Thủy
Đinh,Mùi,2027,Thủy,Thiên Hà Thủy
Mậu,Thân,2028,Thổ,Đại Thạch Thổ
Kỷ,Dậu,2029,Thổ,Đại Thạch Thổ
Canh,Tuất,2030,Kim,Thoa Xuyến Kim
Tân,Hợi,2031,Kim,Thoa Xuyến Kim
Nhâm,Tý,2032,Mộc,Tang Đố Mộc
Quý,Sửu,2033,Mộc,Tang Đố Mộc
Giáp,Dần,2034,Thủy,Đại Khê Thủy
Ất,Mão,2035,Thủy,Đại Khê Thủy
Bính,Thìn,2036,Thổ,Sa Trung Thổ
Đinh,Tỵ,2037,Thổ,Sa Trung Thổ
Mậu,Ngọ,2038,Hỏa,Thiên Thượng Hỏa
Kỷ,Mùi,2039,Hỏa,Thiên Thượng Hỏa
