Mã số,Tên,Tên (EN),Tên (Zh),Ngũ hành,Hệ sao,Mã Loại sao,Loại sao,Phương vị,Âm Dương,Vòng Trường Sinh
1,Tử vi,,,Thổ,Tử vi tinh hệ,1,Chính tinh,Đế tinh,TRUE,FALSE
2,Liêm trinh,,,Hỏa,Tử vi tinh hệ,1,Chính tinh,Bắc đẩu tinh,TRUE,FALSE
3,Thiên đồng,,,Thủy,Tử vi tinh hệ,1,Chính tinh,Bắc đẩu tinh,TRUE,FALSE
4,Vũ khúc,,,Kim,Tử vi tinh hệ,1,Chính tinh,Bắc đẩu tinh,FALSE,FALSE
5,Thái dương,,,Hỏa,Tử vi tinh hệ,1,Chính tinh,Nam đẩu tinh,TRUE,FALSE
6,Thiên cơ,,,Mộc,Tử vi tinh hệ,1,Chính tinh,Nam đẩu tinh,FALSE,FALSE
7,Thiên phủ,,,Thổ,Thiên phủ tinh hệ,1,Chính tinh,Nam đẩu tinh,TRUE,FALSE
8,Thái âm,,,Thủy,Thiên phủ tinh hệ,1,Chính tinh,Bắc đẩu tinh,FALSE,FALSE
9,Tham lang,,,Thủy,Thiên phủ tinh hệ,1,Chính tinh,Bắc đẩu tinh,FALSE,FALSE
10,Cự môn,,,Thủy,Thiên phủ tinh hệ,1,Chính tinh,Bắc đẩu tinh,FALSE,FALSE
11,Thiên tướng,,,Thủy,Thiên phủ tinh hệ,1,Chính tinh,Nam đẩu tinh,TRUE,FALSE
12,Thiên lương,,,Mộc,Thiên phủ tinh hệ,1,Chính tinh,Nam đẩu tinh,FALSE,FALSE
13,Thất sát,,,Kim,Thiên phủ tinh hệ,1,Chính tinh,Nam đẩu tinh,TRUE,FALSE
14,Phá quân,,,Thủy,Thiên phủ tinh hệ,1,Chính tinh,Bắc đẩu tinh,FALSE,FALSE
15,Thái tuế,,,Hỏa,Vòng Địa chi - Thái tuế,15,Hình tinh,,,FALSE
16,Thiếu dương,,,Hỏa,Vòng Địa chi - Thái tuế,5,Phúc tinh,,,FALSE
17,Tang môn,,,Mộc,Vòng Địa chi - Thái tuế,12,Bại tinh,,,FALSE
18,Thiếu âm,,,Thủy,Vòng Địa chi - Thái tuế,5,Phúc tinh,,,FALSE
19,Quan phù,,,Hỏa,Vòng Địa chi - Thái tuế,12,Bại tinh,,,FALSE
20,Tử phù,,,Kim,Vòng Địa chi - Thái tuế,12,Bại tinh,,,FALSE
21,Tuế phá,,,Hỏa,Vòng Địa chi - Thái tuế,12,Bại tinh,,,FALSE
22,Long đức,,,Thủy,Vòng Địa chi - Thái tuế,5,Phúc tinh,,,FALSE
23,Bạch hổ,,,Kim,Vòng Địa chi - Thái tuế,12,Bại tinh,,,FALSE
24,Phúc đức,,,Thổ,Vòng Địa chi - Thái tuế,5,Phúc tinh,,,FALSE
25,Điếu khách,,,Hỏa,Vòng Địa chi - Thái tuế,12,Bại tinh,,,FALSE
26,Trực phù,,,Kim,Vòng Địa chi - Thái tuế,16,Hình tinh,,,FALSE
27,Lộc tồn,,,Thổ,Vòng Thiên can - Lộc tồn,3,Quý tinh,Bắc đẩu tinh,,FALSE
28,Lực sĩ,,,Hỏa,Vòng Thiên can - Lộc tồn,2,Phụ tinh,,,FALSE
29,Thanh long,,,Thủy,Vòng Thiên can - Lộc tồn,5,Phúc tinh,,,FALSE
30,Tiểu hao,,,Hỏa,Vòng Thiên can - Lộc tồn,12,Bại tinh,,,FALSE
31,Tướng quân,,,Mộc,Vòng Thiên can - Lộc tồn,4,Quyền tinh,,,FALSE
32,Tấu thư,,,Kim,Vòng Thiên can - Lộc tồn,3,Quý tinh,,,FALSE
33,Phi liêm,,,Hỏa,Vòng Thiên can - Lộc tồn,2,Phụ tinh,,,FALSE
34,Hỷ thần,,,Hỏa,Vòng Thiên can - Lộc tồn,5,Phúc tinh,,,FALSE
35,Bệnh phù,,,Thổ,Vòng Thiên can - Lộc tồn,12,Bại tinh,,,FALSE
36,Đại hao,,,Hỏa,Vòng Thiên can - Lộc tồn,12,Bại tinh,,,FALSE
37,Phục binh,,,Hỏa,Vòng Thiên can - Lộc tồn,13,Ám tinh,,,FALSE
38,Quan phù,,,Hỏa,Vòng Thiên can - Lộc tồn,12,Bại tinh,,,FALSE
109,Bác sỹ,,,Thủy,Vòng Thiên can - Lộc tồn,5,Phúc tinh,,,FALSE
39,Trường sinh,,,Thủy,Vòng Trường sinh,5,Phúc tinh,,,FALSE
40,Mộc dục,,,Thủy,Vòng Trường sinh,14,Dâm tinh,,,FALSE
41,Quan đới,,,Kim,Vòng Trường sinh,4,Quyền tinh,,,FALSE
42,Lâm quan,,,Kim,Vòng Trường sinh,7,Đài các tinh,,,FALSE
43,Đế vượng,,,Kim,Vòng Trường sinh,5,Phúc tinh,,,FALSE
44,Suy,,,Thủy,Vòng Trường sinh,12,Bại tinh,,,FALSE
45,Bệnh,,,Hỏa,Vòng Trường sinh,12,Bại tinh,,,FALSE
46,Tử,,,Hỏa,Vòng Trường sinh,12,Bại tinh,,,FALSE
47,Mộ,,,Thổ,Vòng Trường sinh,2,Phụ tinh,,,FALSE
48,Tuyệt,,,Thổ,Vòng Trường sinh,12,Bại tinh,,,FALSE
49,Thai,,,Thổ,Vòng Trường sinh,14,Dâm tinh,,,FALSE
50,Dưỡng,,,Mộc,Vòng Trường sinh,2,Phụ tinh,,,FALSE
51,Đà la,,,Kim,Lục sát - Kình dương đà la,11,Sát tinh,,,FALSE
52,Kình dương,,,Kim,Lục sát - Kình dương đà la,11,Sát tinh,,,FALSE
53,Địa không,,,Hỏa,Địa không - Địa kiếp,11,Sát tinh,,,FALSE
54,Địa kiếp,,,Hỏa,Địa không - Địa kiếp,11,Sát tinh,,,FALSE
55,Linh tinh,,,Hỏa,Hỏa tinh - Linh tinh,11,Sát tinh,,,FALSE
56,Hỏa tinh,,,Hỏa,Hỏa tinh - Linh tinh,11,Sát tinh,,,FALSE
57,Văn xương,,,Kim,Sao Âm Dương: Văn xương - Văn khúc,6,Văn tinh,,,FALSE
58,Văn khúc,,,Thủy,Sao Âm Dương: Văn xương - Văn khúc,6,Văn tinh,,,FALSE
59,Thiên khôi,,,Hỏa,Thiên khôi - Thiên Việt,6,Văn tinh,,,FALSE
60,Thiên việt,,,Hỏa,Thiên khôi - Thiên Việt,6,Văn tinh,,,FALSE
